adsh,company_name,sector,rating,investment_grade,financial_score,accounts_receivable,cash,current_assets,current_liabilities,gross_profit,inventory,long_term_debt,net_income,operating_income,revenue,short_term_debt,stockholders_equity,total_assets,total_liabilities,current_ratio,debt_to_equity,return_on_assets,profit_margin
0000002178-22-000033,Company_1,Technology,BBB,1,2.0,137789000.0,97825000.0,273210000.0,0.0,,,,2825000.0,-2487000.0,644788000.0,,16913000.0,119197000.0,0.0,inf,,0.023700260912606862,0.004381285011507658
0000002178-22-000046,Company_2,Financial,BB,0,1.01,212454000.0,99295000.0,1705000.0,276979000.0,,,,6090000.0,0.0,26690000.0,,165521000.0,1705000.0,11878000.0,0.006155701334758231,,3.5718475073313782,0.22817534657174973
0000002178-22-000066,Company_3,Healthcare,BB,0,1.22,267634000.0,67728000.0,1501000.0,14207000.0,,,,8566000.0,0.0,962516000.0,,17541000.0,2938000.0,2614000.0,0.1056521433096361,,2.915588835942818,0.008899592318465356
0000002178-22-000089,Company_4,Energy,AA+,1,4.94,198790000.0,86510000.0,2058000.0,129000.0,,,,2190000.0,155000.0,-2912000.0,,438000.0,2058000.0,129000.0,15.953488372093023,,1.064139941690962,-0.7520604395604396
0000002178-23-000038,Company_5,Consumer,BBB,1,1.68,189039000.0,20532000.0,0.0,19214000.0,,,,3487000.0,303000.0,112653000.0,,72964000.0,60405000.0,19214000.0,0.0,,0.05772700935353034,0.03095345885151749
0000002178-23-000064,Company_6,Industrial,BB,0,1.0,158126000.0,42135000.0,3028000.0,0.0,,,2500000.0,-1999000.0,535000.0,-809000.0,2500000.0,70332000.0,3028000.0,0.0,inf,0.0355456975487687,-0.6601717305151915,2.4709517923362174
0000002178-23-000082,Company_7,Utilities,BB,0,1.09,158433000.0,8974000.0,205791000.0,188574000.0,,,2500000.0,-1172000.0,-1980000.0,32527000.0,2500000.0,343482000.0,23187000.0,343482000.0,1.0913010277132584,0.007278401779423667,-0.05054556432483719,-0.03603160451317367
0000002178-23-000091,Company_8,Technology,BBB,1,2.09,219263000.0,16313000.0,274786000.0,252601000.0,,,2500000.0,2258000.0,0.0,308000.0,2500000.0,410595000.0,251449000.0,316534000.0,1.0878262556363594,0.006088724899231603,0.008979952197065806,7.3311688311688314
0000002178-24-000035,Company_9,Financial,BBB,1,1.55,164295000.0,33256000.0,3103000.0,16150000.0,,,2500000.0,212000.0,5091000.0,61256000.0,2500000.0,92716000.0,25027000.0,16150000.0,0.19213622291021673,0.02696406229776953,0.008470851480401166,0.00346088546428105
0000002178-24-000054,Company_10,Healthcare,B,0,0.01,185296000.0,36603000.0,2538000.0,246172000.0,,,2500000.0,-498000.0,4420000.0,4000.0,2500000.0,21879000.0,-565000.0,-599000.0,0.010309864647482249,0.11426482014717308,0.8814159292035398,-124.5
0000002178-24-000076,Company_11,Energy,B,0,0.01,171735000.0,38512000.0,3328000.0,230988000.0,,,2500000.0,-2727000.0,-4475000.0,682825000.0,2500000.0,89230000.0,8510000.0,11637000.0,0.014407674857568359,0.028017482909335426,-0.32044653349001173,-0.003993702632446088
